architechure = vgg8, prune_ratio = 30, bit = 7, direction = br, acc = 0.905
architechure = vgg8, prune_ratio = 30, bit = 8, direction = br, acc = 0.9043
architechure = vgg8, prune_ratio = 40, bit = 4, direction = br, acc = 0.8963
architechure = vgg8, prune_ratio = 40, bit = 5, direction = br, acc = 0.9082
architechure = vgg8, prune_ratio = 40, bit = 6, direction = br, acc = 0.9061
architechure = vgg8, prune_ratio = 40, bit = 7, direction = br, acc = 0.9081
architechure = vgg8, prune_ratio = 40, bit = 8, direction = br, acc = 0.9079
architechure = vgg8, prune_ratio = 50, bit = 4, direction = br, acc = 0.8903
architechure = vgg8, prune_ratio = 50, bit = 5, direction = br, acc = 0.9035
architechure = vgg8, prune_ratio = 50, bit = 6, direction = br, acc = 0.9007
architechure = vgg8, prune_ratio = 50, bit = 7, direction = br, acc = 0.9046
architechure = vgg8, prune_ratio = 50, bit = 8, direction = br, acc = 0.9049
architechure = vgg8, prune_ratio = 10, bit = 4, direction = tl, acc = 0.7056
architechure = vgg8, prune_ratio = 10, bit = 5, direction = tl, acc = 0.8352
architechure = vgg8, prune_ratio = 10, bit = 6, direction = tl, acc = 0.8021
