architechure = resnet34, prune_ratio = 50, bit = 8, direction = tl, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1647
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1921
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1859
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1987
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tr, acc = 0.2011
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1862
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tr, acc = 0.2451
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tr, acc = 0.2505
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tr, acc = 0.2594
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tr, acc = 0.257
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tr, acc = 0.3033
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tr, acc = 0.3636
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tr, acc = 0.3244
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tr, acc = 0.3684
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tr, acc = 0.3779
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tr, acc = 0.659
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tr, acc = 0.7202
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tr, acc = 0.6965
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tr, acc = 0.7444
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tr, acc = 0.7454
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tr, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8974
architechure = vgg8, prune_ratio = 10, bit = 4, direction = bl, acc = 0.9049
architechure = vgg8, prune_ratio = 10, bit = 5, direction = bl, acc = 0.9102
architechure = vgg8, prune_ratio = 10, bit = 6, direction = bl, acc = 0.9095
architechure = vgg8, prune_ratio = 10, bit = 7, direction = bl, acc = 0.9116
architechure = vgg8, prune_ratio = 10, bit = 8, direction = bl, acc = 0.9113
architechure = vgg8, prune_ratio = 20, bit = 4, direction = bl, acc = 0.9005
architechure = vgg8, prune_ratio = 20, bit = 5, direction = bl, acc = 0.9055
architechure = vgg8, prune_ratio = 20, bit = 6, direction = bl, acc = 0.9053
architechure = vgg8, prune_ratio = 20, bit = 7, direction = bl, acc = 0.9038
architechure = vgg8, prune_ratio = 20, bit = 8, direction = bl, acc = 0.9045
architechure = vgg8, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8991
architechure = vgg8, prune_ratio = 30, bit = 5, direction = bl, acc = 0.9077
architechure = vgg8, prune_ratio = 30, bit = 6, direction = bl, acc = 0.9062
architechure = vgg8, prune_ratio = 30, bit = 7, direction = bl, acc = 0.9063
architechure = vgg8, prune_ratio = 30, bit = 8, direction = bl, acc = 0.9068
architechure = vgg8, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8964
architechure = vgg8, prune_ratio = 40, bit = 5, direction = bl, acc = 0.9068
architechure = vgg8, prune_ratio = 40, bit = 6, direction = bl, acc = 0.9059
architechure = vgg8, prune_ratio = 40, bit = 7, direction = bl, acc = 0.9073
architechure = vgg8, prune_ratio = 40, bit = 8, direction = bl, acc = 0.9079
architechure = vgg8, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8903
architechure = vgg8, prune_ratio = 50, bit = 5, direction = bl, acc = 0.9035
architechure = vgg8, prune_ratio = 50, bit = 6, direction = bl, acc = 0.9007
architechure = vgg8, prune_ratio = 50, bit = 7, direction = bl, acc = 0.9046
architechure = vgg8, prune_ratio = 50, bit = 8, direction = bl, acc = 0.9049
architechure = vgg8, prune_ratio = 10, bit = 4, direction = br, acc = 0.8961
architechure = vgg8, prune_ratio = 10, bit = 5, direction = br, acc = 0.9059
architechure = vgg8, prune_ratio = 10, bit = 6, direction = br, acc = 0.9035
architechure = vgg8, prune_ratio = 10, bit = 7, direction = br, acc = 0.9059
architechure = vgg8, prune_ratio = 10, bit = 8, direction = br, acc = 0.9061
architechure = vgg8, prune_ratio = 20, bit = 4, direction = br, acc = 0.896
architechure = vgg8, prune_ratio = 20, bit = 5, direction = br, acc = 0.9036
architechure = vgg8, prune_ratio = 20, bit = 6, direction = br, acc = 0.9048
architechure = vgg8, prune_ratio = 20, bit = 7, direction = br, acc = 0.9026
architechure = vgg8, prune_ratio = 20, bit = 8, direction = br, acc = 0.902
architechure = vgg8, prune_ratio = 30, bit = 4, direction = br, acc = 0.8965
architechure = vgg8, prune_ratio = 30, bit = 5, direction = br, acc = 0.9059
architechure = vgg8, prune_ratio = 30, bit = 6, direction = br, acc = 0.9056
architechure = vgg8, prune_ratio = 30, bit = 7, direction = br, acc = 0.9044
architechure = vgg8, prune_ratio = 30, bit = 8, direction = br, acc = 0.905
architechure = vgg8, prune_ratio = 40, bit = 4, direction = br, acc = 0.8952
architechure = vgg8, prune_ratio = 40, bit = 5, direction = br, acc = 0.907
architechure = vgg8, prune_ratio = 40, bit = 6, direction = br, acc = 0.9064
architechure = vgg8, prune_ratio = 40, bit = 7, direction = br, acc = 0.9071
architechure = vgg8, prune_ratio = 40, bit = 8, direction = br, acc = 0.9073
architechure = vgg8, prune_ratio = 50, bit = 4, direction = br, acc = 0.8903
architechure = vgg8, prune_ratio = 50, bit = 5, direction = br, acc = 0.9035
architechure = vgg8, prune_ratio = 50, bit = 6, direction = br, acc = 0.9007
architechure = vgg8, prune_ratio = 50, bit = 7, direction = br, acc = 0.9046
architechure = vgg8, prune_ratio = 50, bit = 8, direction = br, acc = 0.9049
architechure = vgg8, prune_ratio = 10, bit = 4, direction = tl, acc = 0.8521
