architechure = resnet34, prune_ratio = 10, bit = 5, direction = br, acc = 0.6617
architechure = resnet34, prune_ratio = 10, bit = 6, direction = br, acc = 0.673
architechure = resnet34, prune_ratio = 10, bit = 7, direction = br, acc = 0.6997
architechure = resnet34, prune_ratio = 10, bit = 8, direction = br, acc = 0.7046
architechure = resnet34, prune_ratio = 20, bit = 4, direction = br, acc = 0.5681
architechure = resnet34, prune_ratio = 20, bit = 5, direction = br, acc = 0.638
architechure = resnet34, prune_ratio = 20, bit = 6, direction = br, acc = 0.6572
architechure = resnet34, prune_ratio = 20, bit = 7, direction = br, acc = 0.6845
architechure = resnet34, prune_ratio = 20, bit = 8, direction = br, acc = 0.6916
architechure = resnet34, prune_ratio = 30, bit = 4, direction = br, acc = 0.5756
architechure = resnet34, prune_ratio = 30, bit = 5, direction = br, acc = 0.6637
architechure = resnet34, prune_ratio = 30, bit = 6, direction = br, acc = 0.6714
architechure = resnet34, prune_ratio = 30, bit = 7, direction = br, acc = 0.6884
architechure = resnet34, prune_ratio = 30, bit = 8, direction = br, acc = 0.695
architechure = resnet34, prune_ratio = 40, bit = 4, direction = br, acc = 0.5707
architechure = resnet34, prune_ratio = 40, bit = 5, direction = br, acc = 0.6604
architechure = resnet34, prune_ratio = 40, bit = 6, direction = br, acc = 0.6624
architechure = resnet34, prune_ratio = 40, bit = 7, direction = br, acc = 0.6813
architechure = resnet34, prune_ratio = 40, bit = 8, direction = br, acc = 0.6941
architechure = resnet34, prune_ratio = 50, bit = 4, direction = br, acc = 0.5247
architechure = resnet34, prune_ratio = 50, bit = 5, direction = br, acc = 0.6791
architechure = resnet34, prune_ratio = 50, bit = 6, direction = br, acc = 0.6762
architechure = resnet34, prune_ratio = 50, bit = 7, direction = br, acc = 0.7136
architechure = resnet34, prune_ratio = 50, bit = 8, direction = br, acc = 0.712
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tl, acc = 0.1977
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tl, acc = 0.2216
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tl, acc = 0.2345
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tl, acc = 0.2524
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tl, acc = 0.2593
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tl, acc = 0.2084
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tl, acc = 0.2241
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tl, acc = 0.233
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tl, acc = 0.2496
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tl, acc = 0.2591
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tl, acc = 0.1785
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tl, acc = 0.2383
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tl, acc = 0.2363
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tl, acc = 0.2562
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tl, acc = 0.2674
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tl, acc = 0.1831
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tl, acc = 0.2197
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tl, acc = 0.2157
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tl, acc = 0.2514
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tl, acc = 0.2599
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tl, acc = 0.203
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tl, acc = 0.2843
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tl, acc = 0.2694
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tl, acc = 0.3027
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tl, acc = 0.2958
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1021
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1047
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1075
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1046
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1051
