architechure = alexnet, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1163
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tr, acc = 0.1182
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1006
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1318
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1344
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tr, acc = 0.1373
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1351
architechure = resnet34, prune_ratio = 10, bit = 4, direction = bl, acc = 0.6492
architechure = resnet34, prune_ratio = 10, bit = 5, direction = bl, acc = 0.7065
architechure = resnet34, prune_ratio = 10, bit = 6, direction = bl, acc = 0.7157
architechure = resnet34, prune_ratio = 10, bit = 7, direction = bl, acc = 0.7335
architechure = resnet34, prune_ratio = 10, bit = 8, direction = bl, acc = 0.7374
architechure = resnet34, prune_ratio = 20, bit = 4, direction = bl, acc = 0.6403
architechure = resnet34, prune_ratio = 20, bit = 5, direction = bl, acc = 0.6923
architechure = resnet34, prune_ratio = 20, bit = 6, direction = bl, acc = 0.7066
architechure = resnet34, prune_ratio = 20, bit = 7, direction = bl, acc = 0.7282
architechure = resnet34, prune_ratio = 20, bit = 8, direction = bl, acc = 0.7343
architechure = resnet34, prune_ratio = 30, bit = 4, direction = bl, acc = 0.6306
architechure = resnet34, prune_ratio = 30, bit = 5, direction = bl, acc = 0.7028
architechure = resnet34, prune_ratio = 30, bit = 6, direction = bl, acc = 0.7033
architechure = resnet34, prune_ratio = 30, bit = 7, direction = bl, acc = 0.7199
architechure = resnet34, prune_ratio = 30, bit = 8, direction = bl, acc = 0.7282
architechure = resnet34, prune_ratio = 40, bit = 4, direction = bl, acc = 0.6239
architechure = resnet34, prune_ratio = 40, bit = 5, direction = bl, acc = 0.6984
architechure = resnet34, prune_ratio = 40, bit = 6, direction = bl, acc = 0.7061
architechure = resnet34, prune_ratio = 40, bit = 7, direction = bl, acc = 0.7202
architechure = resnet34, prune_ratio = 40, bit = 8, direction = bl, acc = 0.7295
architechure = resnet34, prune_ratio = 50, bit = 4, direction = bl, acc = 0.5817
architechure = resnet34, prune_ratio = 50, bit = 5, direction = bl, acc = 0.7219
architechure = resnet34, prune_ratio = 50, bit = 6, direction = bl, acc = 0.7158
architechure = resnet34, prune_ratio = 50, bit = 7, direction = bl, acc = 0.7419
architechure = resnet34, prune_ratio = 50, bit = 8, direction = bl, acc = 0.7429
architechure = resnet34, prune_ratio = 10, bit = 4, direction = br, acc = 0.6006
architechure = resnet34, prune_ratio = 10, bit = 5, direction = br, acc = 0.664
architechure = resnet34, prune_ratio = 10, bit = 6, direction = br, acc = 0.6757
architechure = resnet34, prune_ratio = 10, bit = 7, direction = br, acc = 0.6995
architechure = resnet34, prune_ratio = 10, bit = 8, direction = br, acc = 0.7035
architechure = resnet34, prune_ratio = 20, bit = 4, direction = br, acc = 0.5842
architechure = resnet34, prune_ratio = 20, bit = 5, direction = br, acc = 0.6437
architechure = resnet34, prune_ratio = 20, bit = 6, direction = br, acc = 0.6627
architechure = resnet34, prune_ratio = 20, bit = 7, direction = br, acc = 0.6875
architechure = resnet34, prune_ratio = 20, bit = 8, direction = br, acc = 0.693
architechure = resnet34, prune_ratio = 30, bit = 4, direction = br, acc = 0.5817
architechure = resnet34, prune_ratio = 30, bit = 5, direction = br, acc = 0.664
architechure = resnet34, prune_ratio = 30, bit = 6, direction = br, acc = 0.6635
architechure = resnet34, prune_ratio = 30, bit = 7, direction = br, acc = 0.6823
architechure = resnet34, prune_ratio = 30, bit = 8, direction = br, acc = 0.6886
architechure = resnet34, prune_ratio = 40, bit = 4, direction = br, acc = 0.5659
architechure = resnet34, prune_ratio = 40, bit = 5, direction = br, acc = 0.6522
architechure = resnet34, prune_ratio = 40, bit = 6, direction = br, acc = 0.6606
architechure = resnet34, prune_ratio = 40, bit = 7, direction = br, acc = 0.676
architechure = resnet34, prune_ratio = 40, bit = 8, direction = br, acc = 0.6877
architechure = resnet34, prune_ratio = 50, bit = 4, direction = br, acc = 0.5285
architechure = resnet34, prune_ratio = 50, bit = 5, direction = br, acc = 0.6796
architechure = resnet34, prune_ratio = 50, bit = 6, direction = br, acc = 0.6757
architechure = resnet34, prune_ratio = 50, bit = 7, direction = br, acc = 0.7105
architechure = resnet34, prune_ratio = 50, bit = 8, direction = br, acc = 0.7086
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tl, acc = 0.2902
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tl, acc = 0.3414
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tl, acc = 0.3658
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tl, acc = 0.389
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tl, acc = 0.3923
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tl, acc = 0.3127
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tl, acc = 0.3438
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tl, acc = 0.3756
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tl, acc = 0.3846
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tl, acc = 0.3963
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tl, acc = 0.2487
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tl, acc = 0.3721
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tl, acc = 0.3809
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tl, acc = 0.3998
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tl, acc = 0.4144
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tl, acc = 0.2839
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tl, acc = 0.3594
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tl, acc = 0.3737
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tl, acc = 0.3995
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tl, acc = 0.4082
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tl, acc = 0.2884
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tl, acc = 0.4297
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tl, acc = 0.4257
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tl, acc = 0.4631
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tl, acc = 0.4687
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1131
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1258
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tr, acc = 0.133
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1309
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tr, acc = 0.133
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tr, acc = 0.114
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1278
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1142
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1297
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tr, acc = 0.131
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1046
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tr, acc = 0.125
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tr, acc = 0.1302
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1267
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1281
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tr, acc = 0.0992
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1227
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tr, acc = 0.1174
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1235
